Date,Open,High,Low,Close ,Adj Close ,Volume
26-Apr-24,120.25,121.65,120.25,121.06,120.22,"468,266"
25-Apr-24,119.72,120.46,118.62,120.45,119.62,"338,153"
24-Apr-24,120.45,121.11,119.6,120.28,119.45,"419,070"
23-Apr-24,120.81,121.45,120.63,120.83,119.99,"413,324"
22-Apr-24,121.02,121.3,120.03,120.39,119.56,"388,067"
19-Apr-24,120.44,121.04,119.59,120.16,119.33,"458,212"
18-Apr-24,119.88,120.95,119.42,119.88,119.05,"373,225"
17-Apr-24,121.9,121.9,118.27,119.44,118.61,"661,582"
16-Apr-24,120.3,121.32,119.87,121.12,120.28,"705,392"
15-Apr-24,122.26,122.26,120.03,120.28,119.45,"628,425"
12-Apr-24,121.05,121.9,120.17,120.84,120.01,"571,448"
11-Apr-24,120.58,122.58,119.15,121.88,121.04,"723,826"
10-Apr-24,120.9,121.65,120.55,120.58,119.75,"349,404"
9-Apr-24,122.75,123.02,121.27,122.57,121.72,"519,378"
8-Apr-24,123.92,124.57,121.96,122.07,121.23,"722,988"
5-Apr-24,124.68,125.17,123.48,123.58,122.72,"646,500"
4-Apr-24,126.34,126.98,124.16,124.59,123.73,"703,477"
3-Apr-24,125.13,126.1,124.9,125.2,124.34,"923,605"
2-Apr-24,126.53,126.57,124.73,125.07,124.2,"859,566"
1-Apr-24,127.99,127.99,125.92,126.34,125.47,"495,079"
28-Mar-24,127.81,129.07,127.59,128.43,127.54,"594,550"
27-Mar-24,126.5,127.83,126.43,127.76,126.88,"718,679"
26-Mar-24,125.96,126.62,125.46,125.63,124.76,"553,732"
25-Mar-24,125.46,125.54,124.51,125.38,124.51,"710,779"
22-Mar-24,126.63,126.63,124.99,125.34,124.47,"509,324"
21-Mar-24,126.38,127.4,125.96,126.5,125.62,"480,955"
20-Mar-24,125.09,126.38,124.7,125.82,124.95,"605,802"
19-Mar-24,123.64,125.17,123.25,125.12,124.25,"476,885"
18-Mar-24,124.45,124.79,123.35,123.58,122.72,"498,072"
15-Mar-24,124.12,125.8,123.88,124.45,123.59,"1,605,536"
14-Mar-24,124.95,125.27,123.48,124.75,123.89,"650,091"
13-Mar-24,124.78,126.75,124.78,125.85,124.98,"565,463"
12-Mar-24,123.75,124.84,122.99,124.63,123.76,"461,444"
11-Mar-24,122.75,123.57,121.93,123.52,122.66,"542,241"
8-Mar-24,124.48,124.9,122.49,122.75,121.9,"472,576"
7-Mar-24,123.23,124.32,122.97,124.25,123.39,"601,852"
6-Mar-24,123.31,123.42,121.84,122.74,121.89,"490,890"
5-Mar-24,122.41,123.76,122.26,122.91,122.06,"594,670"
4-Mar-24,122.49,123.58,121.57,122.92,122.07,"640,515"
1-Mar-24,122.51,122.81,121.72,122.49,121.64,"571,208"
29-Feb-24,123.1,123.59,121.95,122.51,121.67,"1,109,858"
28-Feb-24,123.17,123.91,122.75,122.92,122.06,"550,859"
27-Feb-24,122.83,123.43,121.9,123.05,122.2,"501,423"
26-Feb-24,122.87,123.52,122.07,122.37,121.52,"918,338"
23-Feb-24,122.07,123.09,121.82,122.8,121.95,"392,975"
22-Feb-24,0.24 Dividend,,,,,
22-Feb-24,121.29,122.17,120.23,121.92,121.08,"879,915"
21-Feb-24,121.33,122.17,120.04,120.77,119.69,"979,745"
20-Feb-24,122.19,123.1,121.1,121.45,120.36,"633,452"
16-Feb-24,123.06,124.62,122.33,123.26,122.16,"1,078,377"
15-Feb-24,120.96,123.06,120.96,123.06,121.96,"917,979"
14-Feb-24,120.41,121.24,120.07,120.54,119.47,"1,318,735"
13-Feb-24,120.81,121.37,119.08,119.52,118.45,"866,508"
12-Feb-24,121.57,121.78,120.94,121.57,120.49,"678,340"
9-Feb-24,119.65,121.59,119.54,121.57,120.49,"907,805"
8-Feb-24,119.65,120.2,118.61,119.61,118.54,"835,027"
7-Feb-24,118.14,120.14,117.79,119.95,118.88,"1,351,054"
6-Feb-24,117,120.24,115.61,116.88,115.84,"1,495,652"
5-Feb-24,114.68,115.23,114.15,114.45,113.43,"1,534,434"
2-Feb-24,113.93,116,113.51,115.54,114.51,"1,281,389"
1-Feb-24,112.61,114.67,112.4,114.41,113.39,"1,245,957"
31-Jan-24,115.6,115.6,111.95,112.59,111.59,"1,037,201"
30-Jan-24,115.18,115.95,114.85,115.55,114.52,"1,078,736"
29-Jan-24,114.77,115.28,113.87,115.21,114.19,"610,709"
26-Jan-24,113.83,114.74,113.8,114.61,113.59,"666,131"
25-Jan-24,112.92,113.44,112.24,113.38,112.36,"684,325"
24-Jan-24,112.61,113.1,111.85,112.02,111.02,"688,874"
23-Jan-24,112.19,112.3,111.46,112.04,111.04,"444,207"
22-Jan-24,110.95,112.03,110.67,111.63,110.63,"688,754"
19-Jan-24,110.5,111.1,109.01,110.5,109.52,"769,791"
18-Jan-24,109.3,110.39,108.91,110.08,109.1,"870,818"
17-Jan-24,109.11,109.37,108.46,108.97,108,"1,097,649"
16-Jan-24,110.93,111.31,109.81,110.33,109.35,"1,235,304"
12-Jan-24,111.24,112.47,110.89,111.8,110.81,"1,115,963"
11-Jan-24,110.51,110.95,108.98,110.57,109.58,"1,160,611"
10-Jan-24,109.36,110.68,109.1,110.23,109.25,"1,129,130"
9-Jan-24,106.95,109.53,106.37,109.5,108.52,"1,306,765"
8-Jan-24,105.57,107.49,105.16,107.46,106.5,"952,214"
5-Jan-24,105.92,106.08,105.18,105.75,104.8,"613,223"
4-Jan-24,106.12,106.7,105.58,105.62,104.68,"1,011,944"
3-Jan-24,106.54,106.72,105.62,105.95,105,"868,902"
2-Jan-24,107.8,108.43,106.62,106.91,105.96,"757,462"
29-Dec-23,108.6,109.31,108.02,108.44,107.47,"641,951"
28-Dec-23,108.53,109.02,108.16,108.64,107.67,"602,211"
27-Dec-23,107.31,108.75,107.11,108.74,107.77,"821,980"
26-Dec-23,106.71,107.44,106.47,107.08,106.13,"1,578,604"
22-Dec-23,107.09,107.76,106.57,106.99,106.04,"375,020"
21-Dec-23,105.87,106.73,105.46,106.55,105.6,"475,927"
20-Dec-23,107.16,108.01,105.34,105.38,104.44,"794,329"
19-Dec-23,105.92,107.81,105.43,107.55,106.59,"1,036,004"
18-Dec-23,106.73,106.73,105.34,105.59,104.65,"820,544"
15-Dec-23,106.73,107.54,105.52,105.92,104.98,"1,515,522"
14-Dec-23,108.57,109.77,107.23,107.69,106.73,"970,169"
13-Dec-23,107.44,108.26,106.93,107.75,106.79,"948,503"
12-Dec-23,107.37,107.64,106.54,107.44,106.48,"948,024"
11-Dec-23,106.53,107.84,106.29,107.14,106.19,"775,177"
